Path,Nom,Numéro,Saison,Durée,Date,Description,Attachments,Piste
Hectore ou les Chroniques d'un Rastronaute - S01 E02,Épisode 2,2,Hectore ou les Chroniques d'un Rastronaute - S01,14:05,2020,,,
Hectore ou les Chroniques d'un Rastronaute - S01 E03,Épisode 3,3,Hectore ou les Chroniques d'un Rastronaute - S01,18:16,2020,,,
Hectore ou les Chroniques d'un Rastronaute - S01 E04,Épisode 4,4,Hectore ou les Chroniques d'un Rastronaute - S01,20:16,2020,,,
Hectore ou les Chroniques d'un Rastronaute - S01 E05,Épisode 5,5,Hectore ou les Chroniques d'un Rastronaute - S01,27:00,2020,,,
HERO - S01 E01,Vilain,1,HERO - S01,5:10,,Grimm commence sa vengeance de manière... sanglante.,,
HERO - S01 E02,Punching Balls,2,HERO - S01,6:31,,Grimm continue sa violente ascension vengeresse.,,
HERO - S01 E03,Sidekick,3,HERO - S01,8:32,,Grimm rencontre sur sa route un individu qui pourrait changer sa perception des choses... ou pas.,,
HERO - S01 E04,Ascension,4,HERO - S01,7:02,,"Plus forte est l'ascension, plus dure sera la chute mais plus rapide sera la remontée... et plus sanglante !",,
HERO - S01 E05,Obstacles,5,HERO - S01,7:43,,"Grimm, plus « désarmé » que jamais, doit faire face à encore et toujours plus d'obstacles. Mais la fin est proche.",,
HERO - S01 E06,Hero,6,HERO - S01,8:56,,L'affrontement final et tant attendu entre Helten et Grimm. Qui en ressortira vivant ?,,
James Rico - Drame à Victory City - S01 E01,Drame à Victory City,1,James Rico - Drame à Victory City - S01,24:23,,,,https://www.youtube.com/watch?v=oFDtaJBPHSU
James Rico - Le Joyau des Ombres - S01 E01,Le Joyau des Ombres,1,James Rico - Le Joyau des Ombres - S01,43:17,2021,,,https://www.youtube.com/watch?v=2lhgQ5gG_eA
Jencyo Rêva - S01 E01,Prologue,1,Jencyo Rêva - S01,8:10,,,,https://www.youtube.com/watch?v=cMcYQKJuVms&list=PLmGrcBYePAlK22p-DtbeLLylM-KHnCkhw&index=1
Jencyo Rêva - S01 E02,Épisode 1,2,Jencyo Rêva - S01,10:35,,,,https://www.youtube.com/watch?v=SK5uMysWloM&list=PLmGrcBYePAlK22p-DtbeLLylM-KHnCkhw&index=2
Jencyo Rêva - S02 E01,Prologue,1,Jencyo Rêva - S02,8:50,,,,
Jencyo Rêva - S02 E02,Épisode 1,2,Jencyo Rêva - S02,12:17,,,,
Jencyo Rêva - S02 E03,Épisode 2,3,Jencyo Rêva - S02,19:09,,,,
Jencyo Rêva - S03 E01,Prologue,1,Jencyo Rêva - S03,16:19,,,,
Jencyo Rêva - S03 E02,Épisode 1,2,Jencyo Rêva - S03,9:20,,,,
Jencyo Rêva - S03 E03,Épisode 2,3,Jencyo Rêva - S03,14:42,,,,
Jencyo Rêva - S03 E00,,,Jencyo Rêva - S03,,,,,
Jencyo Rêva - S04 E01,Épisode 1,1,Jencyo Rêva - S04,30:17,,,,
Jencyo Rêva - S04 E02,Épisode 2,2,Jencyo Rêva - S04,19:41,,,,
Jencyo Rêva - S04 E03,Épisode 3,3,Jencyo Rêva - S04,27:07,,,,
Jencyo Rêva - S04 E04,Épisode 4,4,Jencyo Rêva - S04,29:05,,,,
Jencyo Rêva - S04 E05,Épilogue,5,Jencyo Rêva - S04,26:00,,,,
Jencyo Rêva - S04 E00,,,Jencyo Rêva - S04,,,,,
Jencyo Rêva - S05 E01,Prologue,1,Jencyo Rêva - S05,17:00,,,,
Jencyo Rêva - S05 E02,Épisode 1,2,Jencyo Rêva - S05,18:40,,,,
Jencyo Rêva - S05 E03,Épisode 2,3,Jencyo Rêva - S05,27:41,,,,
Jencyo Rêva - S05 E04,Épisode 3,4,Jencyo Rêva - S05,40:00,,,,
